id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2685851,209,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Liebe Kolleginnen und Kollegen, ich begrüße Sie herzlich zum letzten Tag unserer Haushaltsberatungen. Da heute nicht einmal Geburtstage zu feiern sind, können wir gleich in die Debatte einsteigen.",data/txt/17209.txt,chair,
2685852,209,17,0,Zurufe von der SPD und dem BÜNDNIS 90/DIE GRÜNEN,e von der SPD und dem BÜNDNIS 90/DIE GRÜNEN,e-spd-und-dem-bundnis-90-die-grunen,1,Oh!,data/txt/17209.txt,poi,gruene:spd
2685853,209,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,2,- Das hättet ihr bei der Terminierung der eigenen Geburtstage früher anders organisieren müssen.,data/txt/17209.txt,chair,
2685854,209,17,0,Iris Gleicke [SPD],Iris Gleicke,iris-gleicke,3,Geburtstag auf Befehl!,data/txt/17209.txt,poi,spd
2685855,209,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,4,"Darauf kann ich jetzt leider nicht mehr in der gewünschten Weise Bezug nehmen.

Wir setzen die Haushaltsberatungen - Tagesordnungspunkt I - fort:

a)	Zweite Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2013 (Haushaltsgesetz 2013)

- Drucksachen 17/10200, 17/10202 -

b)	Beratung der Beschlussempfehlung des Haushaltsausschusses (8. Ausschuss) zu der Unterrichtung durch die Bundesregierung

Finanzplan des Bundes 2012 bis 2016

- Drucksachen 17/10201, 17/10202, 17/10826 -

Berichterstattung:

Abgeordnete Norbert Barthle

Carsten Schneider (Erfurt)

Otto Fricke

Dr. Gesine Lötzsch

Priska Hinz (Herborn)

Ich rufe Tagesordnungspunkt I.18 auf:

Einzelplan 12

Bundesministerium für Verkehr, Bau und Stadtentwicklung

- Drucksachen 17/10812, 17/10823 -

Berichterstattung:

Abgeordnete Bartholomäus Kalb

Johannes Kahrs

Dr. Claudia Winterstein

Roland Claus

Sven-Christian Kindler

Zu diesem Einzeletat liegen vier Änderungsanträge der Fraktion Die Linke vor. Außerdem liegt je ein Entschließungsantrag der Fraktion Die Linke und der Fraktion Bündnis 90/Die Grünen vor, über die wir nach der Schlussabstimmung abstimmen werden.

Nach einer interfraktionellen Vereinbarung sind für die Aussprache 90 Minuten vorgesehen. Gibt es dagegen Einwände? - Das ist nicht der Fall. Dann haben wir das so beschlossen.

Ich eröffne die Aussprache und erteile das Wort dem Kollegen Johannes Kahrs. Bitte schön.",data/txt/17209.txt,chair,
2685856,209,17,0,,,,5,Beifall bei der SPD,data/txt/17209.txt,poi,
2685857,209,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,6,,data/txt/17209.txt,chair,
2685858,209,17,0,Johannes Kahrs (SPD),Johannes Kahrs,johannes-kahrs,7,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Es ist doch immer eine große Freude, als Erster reden zu dürfen.",data/txt/17209.txt,speech,spd
2685859,209,17,0,Bartholomäus Kalb [CDU/CSU],Bartholomäus Kalb,bartholomaus-kalb,8,"Schönen guten Morgen, Herr Kollege!",data/txt/17209.txt,poi,cducsu
2685860,209,17,0,Volker Kauder [CDU/CSU],Volker Kauder,volker-kauder,9,Sind Sie überhaupt schon wach?,data/txt/17209.txt,poi,cducsu
